Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,In-district Ballot Box count,Date,Time,AdvanceTotals,FinalTotals,Out-of District count,Initial Count Status
VHA,Vancouver-Hastings,Mike Lavers, ,3721,15.55%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,Dan Mor,BC Kiwi Party,2992,12.50%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,Nicole O'Leary,BC Pineapple Party,2781,11.62%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,Mike Rear,Cherries,2779,11.61%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,Brandon Reeve,Independent,3328,13.91%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,Petra Russell,BC Mangoes,3066,12.81%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VKE,Vancouver-Kensington,Justin Chouhan,BC Kiwi Party,4010,25.00%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VKE,Vancouver-Kensington,Charles Isaacs,BC Pineapple Party,4114,25.65%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VKE,Vancouver-Kensington,Jacquie Ogden,BC Mangoes,4346,27.10%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VKE,Vancouver-Kensington,Brendan Soutar,Bananas,3568,22.25%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLA,Vancouver-Langara,Alex Conroy,BC Mangoes,3217,28.80%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLA,Vancouver-Langara,Peter Foster,BC Pineapple Party,2165,19.38%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLA,Vancouver-Langara,Michelle Glumac,Bananas,2889,25.86%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLA,Vancouver-Langara,Mike Spitz,BC Kiwi Party,2901,25.97%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLM,Vancouver-Little Mountain,Ian Banman,BC Mangoes,2102,20.30%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLM,Vancouver-Little Mountain,Lana Bill,Bananas,2510,24.23%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLM,Vancouver-Little Mountain,Shaukat Lepage,BC Pineapple Party,2191,21.15%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VLM,Vancouver-Little Mountain,Martin Lockhart,BC Kiwi Party,3554,34.31%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNP,Vancouver-Point Grey,Naomi Chow,Bananas,2596,23.55%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNP,Vancouver-Point Grey,Gerry Hughes,BC Mangoes,2989,27.12%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNP,Vancouver-Point Grey,Mitzi Morris,BC Pineapple Party,2991,27.14%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNP,Vancouver-Point Grey,Joan Polak,BC Kiwi Party,2446,22.19%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNQ,Vancouver-Quilchena,Beat Elmore,Bananas,3307,20.20%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VNQ,Vancouver-Quilchena,Naomi Fraser,BC Mangoes,4124,25.19%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VNQ,Vancouver-Quilchena,Mike Lee,Cherries,2401,14.66%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VNQ,Vancouver-Quilchena,Andy Leonard,BC Kiwi Party,3568,21.79%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VNQ,Vancouver-Quilchena,Keith Taylor,BC Pineapple Party,2973,18.16%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VNR,Vancouver-Renfrew,P. Benninger,BC Pineapple Party,2437,18.41%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNR,Vancouver-Renfrew,Marvin Chen,Bananas,2532,19.13%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNR,Vancouver-Renfrew,Jeff Coleman,Cherries,3263,24.65%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNR,Vancouver-Renfrew,Doug Macintyre,BC Mangoes,2739,20.69%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNR,Vancouver-Renfrew,Josue Macleod,BC Kiwi Party,2266,17.12%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNS,Vancouver-South Granville,Rob Barnett,BC Kiwi Party,3865,21.57%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNS,Vancouver-South Granville,Annemieke Clarke,Bananas,4767,26.60%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNS,Vancouver-South Granville,Glenn Mckinnon,BC Pineapple Party,4736,26.43%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNS,Vancouver-South Granville,Michael Troy,BC Mangoes,4552,25.40%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNT,Vancouver-Strathcona,Matt Calder,BC Pineapple Party,4945,26.97%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
VNT,Vancouver-Strathcona,Mable Reid,BC Kiwi Party,4292,23.41%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
VNT,Vancouver-Strathcona,Brette Syed,Bananas,4879,26.61%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
VNT,Vancouver-Strathcona,Dorothy Vetro,BC Mangoes,4220,23.01%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
VNW,Vancouver-West End,Karen Knight,BC Mangoes,2793,34.91%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNW,Vancouver-West End,Kelly Rodgers,BC Kiwi Party,1961,24.51%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNW,Vancouver-West End,Glynnis Routley,Bananas,3247,40.58%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNY,Vancouver-Yaletown,Lorraine Buckley,BC Mangoes,3386,34.68%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNY,Vancouver-Yaletown,John Coulter,BC Kiwi Party,2623,26.87%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VNY,Vancouver-Yaletown,Jet Stilwell,Bananas,3754,38.45%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
VRL,Vernon-Lumby,Kevin Housser,Bananas,3347,28.63%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VRL,Vernon-Lumby,Jason Marshall,BC Mangoes,4432,37.91%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VRL,Vernon-Lumby,Liz Palomino,BC Kiwi Party,3911,33.46%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VTB,Victoria-Beacon Hill,Chelsa Beare,Bananas,6252,36.92%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
VTB,Victoria-Beacon Hill,Nicholas Raunet,BC Kiwi Party,5004,29.55%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
VTB,Victoria-Beacon Hill,Anton Shrestha,BC Mangoes,5679,33.53%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
VTS,Victoria-Swan Lake,Scott Ellacott,BC Mangoes,3899,29.28%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VTS,Victoria-Swan Lake,Marvin Goldman,BC Kiwi Party,4234,31.79%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VTS,Victoria-Swan Lake,Sam Ibbotson,Bananas,5184,38.93%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
WKP,West Kelowna-Peachland,Chak Krieger,BC Kiwi Party,4550,39.43%,16 of 16,22/08/2024,03:52:20 PM,5 of 5,11 of 11,Complete,Complete
WKP,West Kelowna-Peachland,Don Parent,Bananas,2454,21.27%,16 of 16,22/08/2024,03:52:20 PM,5 of 5,11 of 11,Complete,Complete
WKP,West Kelowna-Peachland,Adam Repen,BC Mangoes,4534,39.30%,16 of 16,22/08/2024,03:52:20 PM,5 of 5,11 of 11,Complete,Complete
WVC,West Vancouver-Capilano,Marcella Kranz,BC Kiwi Party,3222,31.79%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
WVC,West Vancouver-Capilano,Nicola O'Connor,Bananas,3410,33.64%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
WVC,West Vancouver-Capilano,Rod Trevena,BC Mangoes,3504,34.57%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
WVS,West Vancouver-Sea to Sky,James Bond,BC Kiwi Party,2846,57.22%,18 of 18,22/08/2024,03:52:20 PM,6 of 6,12 of 12,Complete,Complete
WVS,West Vancouver-Sea to Sky,Terry Heyman,Bananas,2128,42.78%,18 of 18,22/08/2024,03:52:20 PM,6 of 6,12 of 12,Complete,Complete
